gene,type
IL17F,cytokin/chemokine_&_receptors
IL17RA,cytokin/chemokine_&_receptors
IL17RB,cytokin/chemokine_&_receptors
IL17RC,cytokin/chemokine_&_receptors
IL17RE,cytokin/chemokine_&_receptors
IL17REL,cytokin/chemokine_&_receptors
IL18,cytokin/chemokine_&_receptors
IL18R1,cytokin/chemokine_&_receptors
IL18RAP,cytokin/chemokine_&_receptors
IL19,cytokin/chemokine_&_receptors
IL1A,cytokin/chemokine_&_receptors
IL1A,growth_factors_&_receptors
IL1b,growth_factors_&_receptors
IL1B,growth_factors_&_receptors
IL1B,cytokin/chemokine_&_receptors
IL1F10,cytokin/chemokine_&_receptors
IL1F10,growth_factors_&_receptors
IL1F5,growth_factors_&_receptors
IL1R1,growth_factors_&_receptors
IL1R1,cytokin/chemokine_&_receptors
IL1R2,cytokin/chemokine_&_receptors
IL1R2,growth_factors_&_receptors
IL1RAP,growth_factors_&_receptors
IL1RAP,cytokin/chemokine_&_receptors
IL1RAPL1,growth_factors_&_receptors
IL1RL1,cytokin/chemokine_&_receptors
IL1RL2,cytokin/chemokine_&_receptors
IL1RN,cytokin/chemokine_&_receptors
IL1RN,growth_factors_&_receptors
IL2,growth_factors_&_receptors
IL2,cytokin/chemokine_&_receptors
IL20,cytokin/chemokine_&_receptors
IL20RA,cytokin/chemokine_&_receptors
IL20RB,cytokin/chemokine_&_receptors
IL21,growth_factors_&_receptors
IL21,cytokin/chemokine_&_receptors
IL21R,cytokin/chemokine_&_receptors
IL22,cytokin/chemokine_&_receptors
IL22RA1,cytokin/chemokine_&_receptors
IL23A,cytokin/chemokine_&_receptors
IL23R,growth_factors_&_receptors
IL23R,cytokin/chemokine_&_receptors
IL24,cytokin/chemokine_&_receptors
IL25,cytokin/chemokine_&_receptors
IL26,cytokin/chemokine_&_receptors
IL27,cytokin/chemokine_&_receptors
IL27RA,growth_factors_&_receptors
IL27RA,cytokin/chemokine_&_receptors
IL2R,growth_factors_&_receptors
IL2RA,cytokin/chemokine_&_receptors
IL2RA,growth_factors_&_receptors
IL2RB,cytokin/chemokine_&_receptors
IL2RB,growth_factors_&_receptors
IL2RG,cytokin/chemokine_&_receptors
IL2RG,growth_factors_&_receptors
IL3,growth_factors_&_receptors
IL3,cytokin/chemokine_&_receptors
IL31,cytokin/chemokine_&_receptors
IL31RA,cytokin/chemokine_&_receptors
IL32,cytokin/chemokine_&_receptors
IL33,cytokin/chemokine_&_receptors
IL34,cytokin/chemokine_&_receptors
IL34,growth_factors_&_receptors
IL36A,growth_factors_&_receptors
IL36A,cytokin/chemokine_&_receptors
IL36B,growth_factors_&_receptors
IL36B,cytokin/chemokine_&_receptors
IL36G,cytokin/chemokine_&_receptors
IL36G,growth_factors_&_receptors
IL36RN,cytokin/chemokine_&_receptors
IL36RN,growth_factors_&_receptors
IL37,growth_factors_&_receptors
IL37,cytokin/chemokine_&_receptors
IL3RA,cytokin/chemokine_&_receptors
IL4,growth_factors_&_receptors
IL4,cytokin/chemokine_&_receptors
IL4R,cytokin/chemokine_&_receptors
IL5,cytokin/chemokine_&_receptors
IL5,growth_factors_&_receptors
IL5RA,cytokin/chemokine_&_receptors
IL6,growth_factors_&_receptors
IL6,cytokin/chemokine_&_receptors
IL6R,growth_factors_&_receptors
IL6R,cytokin/chemokine_&_receptors
IL6ST,growth_factors_&_receptors
IL6ST,cytokin/chemokine_&_receptors
IL7,growth_factors_&_receptors
IL7,cytokin/chemokine_&_receptors
IL7R,cytokin/chemokine_&_receptors
IL9,growth_factors_&_receptors
IL9,cytokin/chemokine_&_receptors
IL9R,cytokin/chemokine_&_receptors
IL9R,growth_factors_&_receptors
INHA,growth_factors_&_receptors
INHA,cytokin/chemokine_&_receptors
INHA,hormones_&_receptors
INHBA,growth_factors_&_receptors
INHBA,cytokin/chemokine_&_receptors
INHBA,hormones_&_receptors
INHBB,cytokin/chemokine_&_receptors
INHBB,hormones_&_receptors
INHBB,growth_factors_&_receptors
INHBC,cytokin/chemokine_&_receptors
INHBC,growth_factors_&_receptors
INHBC,hormones_&_receptors
INHBE,cytokin/chemokine_&_receptors
INHBE,growth_factors_&_receptors
INHBE,hormones_&_receptors
INS,hormones_&_receptors
INS-IGF2,hormones_&_receptors
INSL3,hormones_&_receptors
INSL4,hormones_&_receptors
INSL5,hormones_&_receptors
INSL6,hormones_&_receptors
INSR,growth_factors_&_receptors
INSR,hormones_&_receptors
insulin_human,hormones_&_receptors
interleukin12_human,growth_factors_&_receptors
IRAK4,growth_factors_&_receptors
ITGA5,growth_factors_&_receptors
ITGA6,growth_factors_&_receptors
ITGAV,growth_factors_&_receptors
ITGB3,growth_factors_&_receptors
ITGB4,growth_factors_&_receptors
JAG1,growth_factors_&_receptors
JAG2,growth_factors_&_receptors
JAK1,hormones_&_receptors
JAK2,growth_factors_&_receptors
JAK2,hormones_&_receptors
JAK3,hormones_&_receptors
KAZALD1,growth_factors_&_receptors
KDR,growth_factors_&_receptors
KITLG,growth_factors_&_receptors
KL,growth_factors_&_receptors
KL,hormones_&_receptors
KLB,growth_factors_&_receptors
LACRT,growth_factors_&_receptors
Lefty1,growth_factors_&_receptors
LEFTY1,growth_factors_&_receptors
LEFTY2,growth_factors_&_receptors
LEP,cytokin/chemokine_&_receptors
LEP,hormones_&_receptors
LEPR,cytokin/chemokine_&_receptors
LEPR,hormones_&_receptors
LHB,hormones_&_receptors
LHCGR,hormones_&_receptors
LIF,growth_factors_&_receptors
LIF,cytokin/chemokine_&_receptors
LIFR,cytokin/chemokine_&_receptors
LIFR,growth_factors_&_receptors
LINGO1,growth_factors_&_receptors
LRP2,growth_factors_&_receptors
LRP2,hormones_&_receptors
LRRC32,growth_factors_&_receptors
LRRC54,growth_factors_&_receptors
lshb-cga_human,hormones_&_receptors
LTA,cytokin/chemokine_&_receptors
LTB,cytokin/chemokine_&_receptors
LTBP1,growth_factors_&_receptors
